id,timestamp,balance,equity,margin,free_margin,margin_level,total_profit,symbol_pnl,chat_id
39345,2026-01-22 04:04:28.784944,82.63,83.17,1.1400000000000001,82.03,7295.6140350877195,0.54,0.0,
39344,2026-01-22 04:04:27.219240,82.63,83.2,1.1400000000000001,82.06,7298.245614035088,0.57,0.57,
39343,2026-01-22 04:04:27.219240,82.63,83.2,1.1400000000000001,82.06,7298.245614035088,0.57,0.57,
39342,2026-01-22 04:04:18.743496,82.63,83.03,1.1400000000000001,81.89,7283.333333333333,0.4,0.0,
39341,2026-01-22 04:04:18.743496,82.63,83.03,1.1400000000000001,81.89,7283.333333333333,0.4,0.0,
39340,2026-01-22 04:04:17.115583,82.63,83.12,1.1400000000000001,81.98,7291.228070175438,0.49,0.49,
39339,2026-01-22 04:04:17.115583,82.63,83.12,1.1400000000000001,81.98,7291.228070175438,0.49,0.49,
39338,2026-01-22 04:04:08.707130,82.63,83.23,1.1400000000000001,82.09,7300.877192982456,0.6,0.0,
39337,2026-01-22 04:04:08.707130,82.63,83.23,1.1400000000000001,82.09,7300.877192982456,0.6,0.0,
39336,2026-01-22 04:04:07.026314,82.63,83.24,1.1400000000000001,82.1,7301.754385964911,0.61,0.61,
39335,2026-01-22 04:04:07.026314,82.63,83.24,1.1400000000000001,82.1,7301.754385964911,0.61,0.61,
39334,2026-01-22 04:03:58.669205,82.63,83.12,1.1400000000000001,81.98,7291.228070175438,0.49,0.0,
39333,2026-01-22 04:03:58.669205,82.63,83.12,1.1400000000000001,81.98,7291.228070175438,0.49,0.0,
39332,2026-01-22 04:03:56.937138,82.63,83.17,1.1400000000000001,82.03,7295.6140350877195,0.54,0.54,
39331,2026-01-22 04:03:56.937138,82.63,83.17,1.1400000000000001,82.03,7295.6140350877195,0.54,0.54,
39330,2026-01-22 04:03:48.628159,82.63,83.08,1.1400000000000001,81.94,7287.719298245614,0.45,0.0,
39329,2026-01-22 04:03:48.628159,82.63,83.08,1.1400000000000001,81.94,7287.719298245614,0.45,0.0,
39328,2026-01-22 04:03:46.850395,82.63,82.99,1.1400000000000001,81.85,7279.824561403509,0.36,0.36,
