ticket,symbol,action,volume,price,time,result,close_price,close_time,profit,mfe,mae,chat_id
121538017,GOLD,SELL,0.01,0.0,2025-12-24 20:01:33,CLOSED,4493.24,2025-12-24 20:01:33,-5.98,0.0,0.0,
121539234,GOLD,SELL,0.01,0.0,2025-12-24 20:05:54,CLOSED,4494.08,2025-12-24 20:05:54,-6.01,0.0,0.0,
121540486,GOLD,SELL,0.01,0.0,2025-12-24 21:20:00,CLOSED,4479.56,2025-12-24 21:20:00,11.95,0.0,0.0,
121543216,GOLD,BUY,0.01,0.0,2025-12-24 20:44:10,CLOSED,4490.06,2025-12-24 20:44:10,-5.0,0.0,0.0,
121544210,GOLD,SELL,0.01,0.0,2025-12-24 21:19:54,CLOSED,4480.96,2025-12-24 21:19:54,11.99,0.0,0.0,
121546154,GOLD,SELL,0.01,0.0,2025-12-24 21:20:21,CLOSED,4478.44,2025-12-24 21:20:21,11.93,0.0,0.0,
121547759,GOLD,SELL,0.01,0.0,2025-12-24 21:20:21,CLOSED,4478.77,2025-12-24 21:20:21,11.44,0.0,0.0,
121548577,GOLD,BUY,0.01,0.0,2025-12-24 21:06:54,CLOSED,4487.48,2025-12-24 21:06:54,-5.24,0.0,0.0,
121550902,GOLD,SELL,0.01,0.0,2025-12-24 21:50:57,CLOSED,4486.2,2025-12-24 21:50:57,-1.06,0.0,0.0,
121556521,GOLD,SELL,0.01,0.0,2025-12-24 21:51:00,CLOSED,4486.29,2025-12-24 21:51:00,-1.18,0.0,0.0,
121557996,GOLD,SELL,0.01,0.0,2025-12-24 22:37:32,CLOSED,4475.92,2025-12-24 22:37:32,11.97,0.0,0.0,
121559490,GOLD,SELL,0.01,0.0,2025-12-24 22:38:49,CLOSED,4473.25,2025-12-24 22:38:49,11.99,0.0,0.0,
121561181,GOLD,SELL,0.01,0.0,2025-12-24 22:38:49,CLOSED,4473.18,2025-12-24 22:38:49,11.48,0.0,0.0,
121561564,GOLD,SELL,0.01,0.0,2025-12-24 22:33:21,CLOSED,4486.3,2025-12-24 22:33:21,-5.82,0.0,0.0,
121565293,GOLD,SELL,0.01,0.0,2025-12-24 22:51:32,CLOSED,4467.86,2025-12-24 22:51:32,4.61,0.0,0.0,
121585070,GOLD,SELL,0.01,0.0,2025-12-25 00:02:12,CLOSED,4462.17,2025-12-25 00:02:12,-8.2,0.0,0.0,
121598298,GOLD,BUY,0.03,0.0,2025-12-25 01:22:49,CLOSED,4480.22,2025-12-25 01:22:49,-16.47,0.0,0.0,
121598619,GOLD,SELL,0.01,0.0,2025-12-26 07:04:16,CLOSED,4491.94,2025-12-26 07:04:16,-6.6,0.0,0.0,
121603105,GOLD,BUY,0.01,0.0,2025-12-25 02:05:15,CLOSED,4478.79,2025-12-25 02:05:15,-1.51,0.0,0.0,
121617351,GOLD,SELL,0.01,0.0,2025-12-26 07:55:42,CLOSED,4493.92,2025-12-26 07:55:42,2.86,0.0,0.0,
121655372,GOLD,BUY,0.01,0.0,2025-12-26 13:30:35,CLOSED,4512.28,2025-12-26 13:30:35,3.54,0.0,0.0,
121657402,GOLD,BUY,0.01,0.0,2025-12-26 14:51:25,CLOSED,4512.27,2025-12-26 14:51:25,0.54,0.0,0.0,
121658982,GOLD,SELL,0.01,0.0,2025-12-26 14:10:55,CLOSED,4510.62,2025-12-26 14:10:55,1.69,0.0,0.0,
121662075,GOLD,BUY,0.01,0.0,2025-12-26 14:51:25,CLOSED,4512.27,2025-12-26 14:51:25,-2.95,0.0,0.0,
121670393,GOLD,BUY,0.01,0.0,2025-12-26 16:55:27,CLOSED,4514.25,2025-12-26 16:55:27,5.01,0.0,0.0,
121676466,GOLD,SELL,0.01,0.0,2025-12-26 16:53:42,CLOSED,4516.5,2025-12-26 16:53:42,0.32,0.0,0.0,
121684112,GOLD,SELL,0.01,0.0,2025-12-26 18:33:57,CLOSED,4520.87,2025-12-26 18:33:57,-0.37,0.0,0.0,
121687050,GOLD,BUY,0.01,0.0,2025-12-26 18:40:50,CLOSED,4516.18,2025-12-26 18:40:50,-1.83,0.0,0.0,
121696401,GOLD,BUY,0.01,0.0,2025-12-26 19:51:01,CLOSED,4506.16,2025-12-26 19:51:01,1.51,0.0,0.0,
121698759,GOLD,SELL,0.01,0.0,2025-12-26 21:32:07,CLOSED,4522.94,2025-12-26 21:32:07,-7.44,0.0,0.0,
121703282,GOLD,SELL,0.01,0.0,2025-12-26 21:37:28,CLOSED,4523.6,2025-12-26 21:37:28,-13.33,0.0,0.0,
121705518,GOLD,SELL,0.01,0.0,2025-12-26 21:14:50,CLOSED,4515.28,2025-12-26 21:14:50,-2.04,0.0,0.0,
121714992,GOLD,BUY,0.01,0.0,2025-12-26 22:02:18,CLOSED,4525.4,2025-12-26 22:02:18,4.22,0.0,0.0,
121719418,GOLD,SELL,0.01,0.0,2025-12-26 22:52:19,CLOSED,4514.49,2025-12-26 22:52:19,10.22,0.0,0.0,
121748080,GOLD,SELL,0.01,0.0,2025-12-27 00:13:35,CLOSED,4536.8,2025-12-27 00:13:35,6.13,0.0,0.0,
121758788,GOLD,BUY,0.01,0.0,2025-12-27 01:13:34,CLOSED,4532.08,2025-12-27 01:13:34,-1.15,0.0,0.0,
121763822,GOLD,SELL,0.01,0.0,2025-12-27 01:16:40,CLOSED,4524.04,2025-12-27 01:16:40,0.83,0.0,0.0,
121770248,GOLD,BUY,0.01,0.0,2025-12-27 01:54:02,CLOSED,4516.03,2025-12-27 01:54:02,-4.68,0.0,0.0,
121771556,GOLD,SELL,0.01,0.0,2025-12-27 01:57:29,CLOSED,4516.9,2025-12-27 01:57:29,-3.05,0.0,0.0,
121779356,GOLD,BUY,0.01,0.0,2025-12-27 03:11:20,CLOSED,4531.47,2025-12-27 03:11:20,4.06,0.0,0.0,
121792702,GOLD,BUY,0.01,0.0,2025-12-29 07:05:00,CLOSED,4535.78,2025-12-29 07:05:00,2.8400000000000003,0.0,0.0,
121814136,GOLD,SELL,0.01,0.0,2025-12-29 07:51:41,CLOSED,4528.62,2025-12-29 07:51:41,8.68,0.0,0.0,
121815952,GOLD,SELL,0.01,0.0,2025-12-29 07:57:15,CLOSED,4529.89,2025-12-29 07:57:15,2.55,0.0,0.0,
121815953,GOLD,SELL,0.01,0.0,2025-12-29 07:57:15,CLOSED,4529.78,2025-12-29 07:57:15,2.66,0.0,0.0,
121849469,GOLD,SELL,0.01,0.0,2025-12-29 10:00:31,CLOSED,4502.11,2025-12-29 10:00:31,3.5,0.0,0.0,
121850941,GOLD,SELL,0.01,0.0,2025-12-29 10:33:46,CLOSED,4514.61,2025-12-29 10:33:46,-8.43,0.0,0.0,
121853612,GOLD,SELL,0.01,0.0,2025-12-29 10:33:50,CLOSED,4514.42,2025-12-29 10:33:50,-9.57,0.0,0.0,
121859095,GOLD,BUY,0.01,0.0,2025-12-29 11:35:04,CLOSED,4519.51,2025-12-29 11:35:04,6.27,0.0,0.0,
121859264,GOLD,BUY,0.01,0.0,2025-12-29 11:35:04,CLOSED,4519.93,2025-12-29 11:35:04,9.88,0.0,0.0,
121880960,GOLD,SELL,0.01,0.0,2025-12-29 14:28:18,CLOSED,4494.14,2025-12-29 14:28:18,11.9,0.0,0.0,
121880961,GOLD,SELL,0.01,0.0,2025-12-29 14:28:18,CLOSED,4494.14,2025-12-29 14:28:18,11.9,0.0,0.0,
121891116,GOLD,BUY,0.01,0.0,2025-12-29 15:00:06,CLOSED,4459.1,2025-12-29 15:00:06,-17.19,0.0,0.0,
121903114,GOLD,BUY,0.01,0.0,2025-12-29 15:46:26,CLOSED,4473.96,2025-12-29 15:46:26,-1.7,0.0,0.0,
121918175,GOLD,BUY,0.01,0.0,2025-12-29 17:46:11,CLOSED,4472.54,2025-12-29 17:46:11,11.96,0.0,0.0,
121926772,GBPCHF,BUY,0.01,0.0,2025-12-29 20:00:40,CLOSED,1.06585,2025-12-29 20:00:40,2.86,0.0,0.0,
121927621,GOLD,BUY,0.01,0.0,2025-12-29 18:48:53,CLOSED,4462.84,2025-12-29 18:48:53,-9.03,0.0,0.0,
121950106,GOLD,SELL,0.01,0.0,2025-12-29 21:32:14,CLOSED,4453.79,2025-12-29 21:32:14,13.75,0.0,0.0,
121952495,GOLD,SELL,0.01,0.0,2025-12-29 21:32:18,CLOSED,4454.07,2025-12-29 21:32:18,12.43,0.0,0.0,
121955198,GOLD,SELL,0.01,0.0,2025-12-29 21:32:21,CLOSED,4453.23,2025-12-29 21:32:21,10.27,0.0,0.0,
121996550,GOLD,BUY,0.01,0.0,2025-12-29 23:00:04,CLOSED,4351.8,2025-12-29 23:00:04,-22.2,0.0,0.0,
122026862,GOLD,SELL,0.01,0.0,2025-12-30 10:16:07,CLOSED,4353.44,2025-12-30 10:16:07,6.99,0.0,0.0,
122029435,GOLD,SELL,0.01,0.0,2025-12-30 10:16:12,CLOSED,4353.55,2025-12-30 10:16:12,5.22,0.0,0.0,
